cve_id,affected_vendor,published,vulnerability
CVE-2020-24562,Trend Micro,25/09/2020,Trend Micro OfficeScan Hard Link Privilege Escalation Vulnerability
CVE-2020-25774,Trend Micro,25/09/2020,Trend Micro OfficeScan ServerMigrationTool ZIP File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-25773,Trend Micro,25/09/2020,Trend Micro OfficeScan ServerMigrationTool DAT File Parsing Double Free Remote Code Execution Vulnerability
CVE-2020-25771,Trend Micro,25/09/2020,Trend Micro Apex One scanServer64 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-25772,Trend Micro,25/09/2020,Trend Micro Apex One scanServer64 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-25770,Trend Micro,25/09/2020,Trend Micro Apex One scanServer64 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-24565,Trend Micro,25/09/2020,Trend Micro Apex One scanServer64 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-24564,Trend Micro,25/09/2020,Trend Micro Apex One Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-24563,Trend Micro,25/09/2020,Trend Micro Apex One Authentication Bypass Vulnerability
CVE-2020-11855,Micro Focus,23/09/2020,Micro Focus Operations Bridge Reporter HPE-OBR Incorrect Permission Assignment Privilege Escalation Vulnerability
CVE-2020-11856,Micro Focus,23/09/2020,Micro Focus Operations Bridge Reporter JMX Missing Authentication Remote Code Execution Vulnerability
CVE-2020-11857,Micro Focus,23/09/2020,Micro Focus Operations Bridge Reporter shrboadmin Use of Hard-coded Credentials Remote Code Execution Vulnerability
CVE-2020-9948,Apple,21/09/2020,Apple Safari replace Type Confusion Remote Code Execution Vulnerability
CVE-2020-9921,Apple,21/09/2020,Apple macOS process_token_BlitFramebuffer Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-9921,Apple,21/09/2020,Apple macOS process_token_CopyPixelsSrcFBO Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-9921,Apple,21/09/2020,Apple macOS process_token_TexSubImage2D Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-9921,Apple,21/09/2020,Apple macOS process_token_TexPBOUpload Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-9927,Apple,21/09/2020,Apple macOS AMDSupport Out-Of-Bounds Write Privilege Escalation Vulnerability
CVE-2020-24623,Hewlett Packard Enterprise,21/09/2020,Hewlett Packard Enterprise Universal API Framework uaf_token SQL Injection Information Disclosure Vulnerability
CVE-2020-16226,Mitsubishi Electric,08/09/2020,Mitsubishi Electric MELSEC iQ-F Predictable TCP Sequence Number Remote Code Execution Vulnerability
CVE-2020-17407,Microhard,26/08/2020,Microhard Bullet-LTE Basic Authorization Header Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-17406,Microhard,26/08/2020,Microhard Bullet-LTE Ping Command Injection Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9919,Apple,05/08/2020,Apple macOS ImageIO PIC File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fuji Electric,17/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 SIM2 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-9876,Apple,05/08/2020,Apple macOS ImageIO TIF File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-9887,Apple,16/09/2020,Apple macOS AppleVPA JPEG Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-3988,VMware,15/09/2020,VMware Workstation ThinPrint JPEG2000 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-3987,VMware,15/09/2020,VMware Workstation ThinPrint EMR_STRETCHDIBITS Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-3986,VMware,15/09/2020,VMware Workstation ThinPrint EMF Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-3990,VMware,15/09/2020,VMware Workstation ThinPrint TTCHeader Integer Overflow Information Disclosure Vulnerability
CVE-2020-3989,VMware,15/09/2020,VMware Workstation ThinPrint name Table Integer Overflow Privilege Escalation Vulnerability
CVE-2020-17409,NETGEAR,15/09/2020,NETGEAR Multiple Routers mini_httpd Authentication Bypass Vulnerability
CVE-2020-0997,Microsoft,14/09/2020,Microsoft Windows Camera Codec Pack Image Processing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fatek Automation,14/09/2020,(0Day) Fatek Automation PLC WinProladder TAB File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fatek Automation,14/09/2020,(0Day) Fatek Automation PLC WinProladder SPF File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-6361,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer RLE File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6360,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer DIB File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6359,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer PLT File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-6358,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer FBX File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6357,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer U3D File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6350,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer BMP File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6349,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer GIF File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6348,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer GIF File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6347,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer HDR File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6346,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer BMP File Parsing Memory Corruption Remote Code Execution Vulnerability
CVE-2020-6356,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer BMP File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6355,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer TGA File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-6345,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer TGA File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-6336,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer PCX File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6354,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer SKP File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-6338,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer RH File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6339,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer BMP File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-6337,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer HDR File Parsing Memory Corruption Remote Code Execution Vulnerabililty
CVE-2020-6340,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer PCX File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6341,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer EPS File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-6342,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer U3D File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6343,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer EPS File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6344,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer PDF File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6353,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer SKP File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-6352,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer FBX File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6351,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer FBX File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6335,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer HPGL File Parsing hpgl Plugin Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6334,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer SKP File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-6333,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer HPGL File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6332,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer HPGL File Parsing hpgl Plugin Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6331,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer HPGL File Parsing hpgl Plugin Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-6314,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer HPGL File Parsing hpgl Plugin Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6321,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer U3D File Parsing 3difr Plugin Uninitialized Pointer Remote Code Execution Vulnerability
CVE-2020-6322,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer 3DM File Parsing rhino Plugin Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-6327,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer 3DM File Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-6328,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer CGM File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability
CVE-2020-6329,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer SKP File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-6330,SAP,10/09/2020,SAP 3D Visual Enterprise Viewer 3DM File Parsing rhino Plugin Out-Of-Bounds Read Remote Code Execution Vulnerability
CVE-2020-1319,Microsoft,10/09/2020,Microsoft Windows WebM Video Parsing Uninitialized Pointer Remote Code Execution Vulnerability
CVE-2020-1594,Microsoft,10/09/2020,Microsoft Excel XLS File SST Record Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1193,Microsoft,10/09/2020,Microsoft Excel XLS File Parsing Use-After-Free Remote Code Execution Vulnerability
CVE-2020-1338,Microsoft,10/09/2020,Microsoft Word DOCX File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-0914,Microsoft,10/09/2020,Microsoft Windows State Repository Service Race Condition Use-After-Free Information Disclosure Vulnerability
CVE-2020-1129,Microsoft,10/09/2020,Microsoft Windows Media Player HEVC Stream Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-1074,Microsoft,10/09/2020,Microsoft Windows JET Database Engine Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-1039,Microsoft,10/09/2020,Microsoft Windows JET Database Engine Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-16874,Microsoft,10/09/2020,Microsoft Visual Studio DDS File Parsing Integer Overflow Remote Code Execution Multiple Vulnerabilities
CVE-2020-16856,Microsoft,10/09/2020,Microsoft Visual Studio DDS File Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-16874,Microsoft,10/09/2020,Microsoft Visual Studio DDS File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-0908,Microsoft,10/09/2020,Microsoft Internet Explorer CTSF3CandidateMessage Use-After-Free Remote Code Execution Vulnerability
CVE-2020-0997,Microsoft,10/09/2020,Microsoft Windows Camera Codec Pack Image Processing Out-Of-Bounds Write Remote Code Execution Vulnerability
CVE-2020-16874,Microsoft,10/09/2020,Microsoft Visual Studio DDS File Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-16874,Microsoft,10/09/2020,Microsoft Visual Studio DDS File Parsing Integer Overflow Remote Code Execution Vulnerability
CVE-2020-9725,Adobe,10/09/2020,Adobe FrameMaker FM File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-9726,Adobe,10/09/2020,Adobe FrameMaker FM File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,08/09/2020,(0Day) Fuji Electric Tellus Lite V-Simulator 6 V9 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
