exploit,cve_id
No,"CVE-2018-12238,CVE-2018-12239"
No,CVE-2018-12245
Yes,"CVE-2018-20250,CVE-2018-20251,CVE-2018-20252,CVE-2018-20253"
No,CVE-2018-18366
No,"CVE-2019-12756,CVE-2019-12757,CVE-2019-12758,CVE-2019-18372"
Yes,"CVE-2017-5715,CVE-2017-5753,CVE-2017-5754,CVE-2018-3615,CVE-2018-3620,CVE-2018-3639,CVE-2018-3646,CVE-2018-12126,CVE-2018-12127,CVE-2018-12130,CVE-2019-11135"
Yes,"CVE-2019-18197,CVE-2019-19923,CVE-2019-19926,CVE-2020-6381,CVE-2020-6382,CVE-2020-6385,CVE-2020-6387,CVE-2020-6388,CVE-2020-6389,CVE-2020-6390,CVE-2020-6391,CVE-2020-6392,CVE-2020-6393,CVE-2020-6394,CVE-2020-6395,CVE-2020-6396,CVE-2020-6397,CVE-2020-6398,CVE-2020-6399,CVE-2020-6400,CVE-2020-6401,CVE-2020-6402,CVE-2020-6403,CVE-2020-6404,CVE-2020-6405,CVE-2020-6406,CVE-2020-6408,CVE-2020-6409,CVE-2020-6410,CVE-2020-6411,CVE-2020-6412,CVE-2020-6413,CVE-2020-6414,CVE-2020-6415,CVE-2020-6416,CVE-2020-6417"
No,"CVE-2019-20503,CVE-2020-6422,CVE-2020-6424,CVE-2020-6425,CVE-2020-6426,CVE-2020-6427,CVE-2020-6428,CVE-2020-6429,CVE-2020-6449"
No,"CVE-2018-12238,CVE-2018-12239"
No,CVE-2018-12245
Yes,"CVE-2019-0590,CVE-2019-0591,CVE-2019-0593,CVE-2019-0595,CVE-2019-0596,CVE-2019-0597,CVE-2019-0598,CVE-2019-0599,CVE-2019-0600,CVE-2019-0601,CVE-2019-0602,CVE-2019-0605,CVE-2019-0606,CVE-2019-0610,CVE-2019-0613,CVE-2019-0615,CVE-2019-0616,CVE-2019-0618,CVE-2019-0619,CVE-2019-0621,CVE-2019-0623,CVE-2019-0625,CVE-2019-0626,CVE-2019-0627,CVE-2019-0628,CVE-2019-0630,CVE-2019-0631,CVE-2019-0632,CVE-2019-0633,CVE-2019-0634,CVE-2019-0635,CVE-2019-0636,CVE-2019-0640,CVE-2019-0641,CVE-2019-0642,CVE-2019-0644,CVE-2019-0645,CVE-2019-0649,CVE-2019-0651,CVE-2019-0652,CVE-2019-0654,CVE-2019-0655,CVE-2019-0656,CVE-2019-0657,CVE-2019-0658,CVE-2019-0659,CVE-2019-0660,CVE-2019-0662,CVE-2019-0663,CVE-2019-0676"
No,"CVE-2019-0613,CVE-2019-0657,CVE-2019-0663"
