cve_id,affected_vendor,vulnerability
CVE-2020-24562,Trend Micro,Trend Micro OfficeScan Hard Link Privilege Escalation Vulnerability
CVE-2020-25774,Trend Micro,Trend Micro OfficeScan ServerMigrationTool ZIP File Parsing Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-25773,Trend Micro,Trend Micro OfficeScan ServerMigrationTool DAT File Parsing Double Free Remote Code Execution Vulnerability
CVE-2020-25771,Trend Micro,Trend Micro Apex One scanServer64 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-25772,Trend Micro,Trend Micro Apex One scanServer64 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-25770,Trend Micro,Trend Micro Apex One scanServer64 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-24565,Trend Micro,Trend Micro Apex One scanServer64 Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-24564,Trend Micro,Trend Micro Apex One Out-Of-Bounds Read Information Disclosure Vulnerability
CVE-2020-24563,Trend Micro,Trend Micro Apex One Authentication Bypass Vulnerability
CVE-2020-11855,Micro Focus,Micro Focus Operations Bridge Reporter HPE-OBR Incorrect Permission Assignment Privilege Escalation Vulnerability
CVE-2020-11856,Micro Focus,Micro Focus Operations Bridge Reporter JMX Missing Authentication Remote Code Execution Vulnerability
CVE-2020-11857,Micro Focus,Micro Focus Operations Bridge Reporter shrboadmin Use of Hard-coded Credentials Remote Code Execution Vulnerability
CVE-2020-9948,Apple,Apple Safari replace Type Confusion Remote Code Execution Vulnerability
CVE-2020-9921,Apple,Apple macOS process_token_BlitFramebuffer Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-9921,Apple,Apple macOS process_token_CopyPixelsSrcFBO Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-9921,Apple,Apple macOS process_token_TexSubImage2D Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-9921,Apple,Apple macOS process_token_TexPBOUpload Time-Of-Check Time-Of-Use Privilege Escalation Vulnerability
CVE-2020-9927,Apple,Apple macOS AMDSupport Out-Of-Bounds Write Privilege Escalation Vulnerability
CVE-2020-24623,Hewlett Packard Enterprise,Hewlett Packard Enterprise Universal API Framework uaf_token SQL Injection Information Disclosure Vulnerability
CVE-2020-16226,Mitsubishi Electric,Mitsubishi Electric MELSEC iQ-F Predictable TCP Sequence Number Remote Code Execution Vulnerability
CVE-2020-17407,Microhard,Microhard Bullet-LTE Basic Authorization Header Stack-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2020-17406,Microhard,Microhard Bullet-LTE Ping Command Injection Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability
,Fuji Electric,(0Day) Fuji Electric Tellus Lite V-Simulator 5 V8 File Parsing Stack-based Buffer Overflow Remote Code Execution Vulnerability
